clip_id,filename,duration_s,resolution,fps,codec,pix_fmt,file_size_mb,short_lt_5s,long_gt_15s,below_vjepa2_min,portrait
IMG_1062,IMG_1062.mov,35.267,1080x1920,59.97,h264,yuvj420p,71.4,FALSE,TRUE,FALSE,TRUE
IMG_1122,IMG_1122.mov,35.750,2160x3840,59.97,h264,yuvj420p,168.9,FALSE,TRUE,FALSE,TRUE
IMG_1162,IMG_1162.mov,36.600,2160x3840,59.97,h264,yuvj420p,173.5,FALSE,TRUE,FALSE,TRUE
IMG_1063,IMG_1063.mov,36.985,1080x1920,59.97,h264,yuvj420p,75.2,FALSE,TRUE,FALSE,TRUE
IMG_1031,IMG_1031.mov,37.018,1080x1920,59.97,h264,yuvj420p,75.4,FALSE,TRUE,FALSE,TRUE
IMG_1080,IMG_1080.mov,37.785,1080x1920,59.97,h264,yuvj420p,76.8,FALSE,TRUE,FALSE,TRUE
IMG_1124,IMG_1124.mov,38.518,2160x3840,59.97,h264,yuvj420p,182.1,FALSE,TRUE,FALSE,TRUE
IMG_1150,IMG_1150.mov,39.802,2160x3840,59.97,h264,yuvj420p,189.0,FALSE,TRUE,FALSE,TRUE
IMG_1040,IMG_1040.mov,40.653,1080x1920,59.97,h264,yuvj420p,82.7,FALSE,TRUE,FALSE,TRUE
IMG_1054,IMG_1054.mov,44.322,1080x1920,59.97,h264,yuvj420p,89.5,FALSE,TRUE,FALSE,TRUE
IMG_1090,IMG_1090.mov,45.622,2160x3840,59.97,h264,yuvj420p,215.9,FALSE,TRUE,FALSE,TRUE
IMG_1086,IMG_1086.mov,46.972,2160x3840,59.97,h264,yuvj420p,222.3,FALSE,TRUE,FALSE,TRUE
IMG_1098,IMG_1098.mov,48.307,2160x3840,59.97,h264,yuvj420p,228.9,FALSE,TRUE,FALSE,TRUE
IMG_1021,IMG_1021.mov,49.340,1080x1920,59.97,h264,yuvj420p,100.8,FALSE,TRUE,FALSE,TRUE
IMG_1087,IMG_1087.mov,51.925,2160x3840,59.97,h264,yuvj420p,246.0,FALSE,TRUE,FALSE,TRUE
IMG_1083,IMG_1083.mov,54.292,2160x3840,59.97,h264,yuvj420p,257.5,FALSE,TRUE,FALSE,TRUE
IMG_1038,IMG_1038.mov,57.043,1080x1920,59.97,h264,yuvj420p,115.9,FALSE,TRUE,FALSE,TRUE
IMG_1126,IMG_1126.mov,60.178,2160x3840,59.97,h264,yuvj420p,284.8,FALSE,TRUE,FALSE,TRUE
IMG_1056,IMG_1056.mov,62.663,1080x1920,59.97,h264,yuvj420p,127.2,FALSE,TRUE,FALSE,TRUE
IMG_1079,IMG_1079.mov,67.832,1080x1920,59.97,h264,yuvj420p,137.9,FALSE,TRUE,FALSE,TRUE
IMG_1074,IMG_1074.mov,70.700,1080x1920,59.97,h264,yuvj420p,143.5,FALSE,TRUE,FALSE,TRUE
IMG_1133_w1,IMG_1133_w1.mov,3.543,2160x3840,59.97,h264,yuvj420p,16.6,TRUE,FALSE,FALSE,TRUE
IMG_1133_w2,IMG_1133_w2.mov,3.543,2160x3840,59.97,h264,yuvj420p,16.7,TRUE,FALSE,FALSE,TRUE
IMG_1115_w1,IMG_1115_w1.mov,3.918,2160x3840,59.97,h264,yuvj420p,18.3,TRUE,FALSE,FALSE,TRUE
IMG_1115_w2,IMG_1115_w2.mov,3.918,2160x3840,59.97,h264,yuvj420p,20.0,TRUE,FALSE,FALSE,TRUE
IMG_1017_w1,IMG_1017_w1.mov,3.951,1080x1920,59.97,h264,yuvj420p,8.1,TRUE,FALSE,FALSE,TRUE
IMG_1017_w2,IMG_1017_w2.mov,3.951,1080x1920,59.97,h264,yuvj420p,8.9,TRUE,FALSE,FALSE,TRUE
IMG_1055_w1,IMG_1055_w1.mov,3.969,1080x1920,59.97,h264,yuvj420p,8.0,TRUE,FALSE,FALSE,TRUE
IMG_1055_w2,IMG_1055_w2.mov,3.969,1080x1920,59.97,h264,yuvj420p,8.8,TRUE,FALSE,FALSE,TRUE
IMG_1107_w1,IMG_1107_w1.mov,4.110,2160x3840,59.98,h264,yuvj420p,19.4,TRUE,FALSE,FALSE,TRUE
IMG_1107_w2,IMG_1107_w2.mov,4.110,2160x3840,59.98,h264,yuvj420p,19.7,TRUE,FALSE,FALSE,TRUE
IMG_1160_w1,IMG_1160_w1.mov,4.168,2160x3840,59.98,h264,yuvj420p,19.5,TRUE,FALSE,FALSE,TRUE
IMG_1160_w2,IMG_1160_w2.mov,4.168,2160x3840,59.98,h264,yuvj420p,20.3,TRUE,FALSE,FALSE,TRUE
